Feature ID	Type	Contig	Start	Stop	Length (bp)	Function	Subsystems	Begin	End
fig|6666666.541064.peg.4486	CDS	LR740776.1	4543914	4544912	999	Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)	NAD and NADP cofactor biosynthesis global, NAD and NADP cofactor biosynthesis global	4543914	4544912
fig|6666666.541064.peg.4487	CDS	LR740776.1	4544994	4546187	1194	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	Phenylalanine and Tyrosine Branches from Chorismate	4544994	4546187
fig|6666666.541064.peg.4488	CDS	LR740776.1	4546369	4549113	2745	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	Dehydrogenase complexes, TCA Cycle	4546369	4549113
fig|6666666.541064.peg.4489	CDS	LR740776.1	4549146	4550300	1155	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	Dehydrogenase complexes, TCA Cycle	4549146	4550300
fig|6666666.541064.peg.4490	CDS	LR740776.1	4550312	4551730	1419	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	Dehydrogenase complexes, TCA Cycle	4550312	4551730
fig|6666666.541064.peg.4491	CDS	LR740776.1	4551752	4552921	1170	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	Serine-glyoxylate cycle, TCA Cycle	4551752	4552921
fig|6666666.541064.peg.4492	CDS	LR740776.1	4552934	4553806	873	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	Serine-glyoxylate cycle, TCA Cycle	4552934	4553806
fig|6666666.541064.peg.4493	CDS	LR740776.1	4554018	4555517	1500	Citrate Succinate antiporter (TC 2.A.47.3.2)	Citrate Metabolism, Transport, and Regulation	4554018	4555517
fig|6666666.541064.peg.4494	CDS	LR740776.1	4555529	4556602	1074	Malate dehydrogenase (EC 1.1.1.37)	Glyoxylate bypass, Serine-glyoxylate cycle, TCA Cycle	4555529	4556602
fig|6666666.541064.peg.4495	CDS	LR740776.1	4557949	4556591	1359	Two component, Sigma-54 Specific, central transcriptional regulator of acidic amino acid uptake	Glutamate and Aspartate uptake in Bacteria	4556591	4557949
fig|6666666.541064.peg.4496	CDS	LR740776.1	4559762	4557942	1821	Putative transport sensor protein	- none -	4557942	4559762
fig|6666666.541064.peg.4497	CDS	LR740776.1	4560039	4560752	714	NMN phosphatase (EC 3.1.3.5); Class B acid phosphatase precursor (EC 3.1.3.2)	NAD and NADP cofactor biosynthesis global	4560039	4560752
fig|6666666.541064.peg.4498	CDS	LR740776.1	4560863	4561279	417	FIG004064: hypothetical protein	CBSS-83333.1.peg.3966	4560863	4561279
