"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","78-Pyelo","APECO1","BEN2908","CFT073","IHE3034","IMT5155","LF82","NRG857c","RS218","UIT89","chi7122"
"comR","","HTH-type transcriptional repressor ComR","11","11","1","1","3371","","","","632","710","644","MLKLJMNP_02953","CPCHNOAG_01080","MMFKLIDH_01077","BLOBBDCK_01254","HONHGEAM_01202","JFLNLICH_03904","NFALKJBE_01073","OKCJCEOA_01077","KJPMMKDD_01176","ALJJNEKE_01143","NOKOPPJF_01188"
"group_1042","","hypothetical protein","11","11","1","1","3366","","","","347","542","524","MLKLJMNP_02956","CPCHNOAG_01077","MMFKLIDH_01074","BLOBBDCK_01250","HONHGEAM_01199","JFLNLICH_03901","NFALKJBE_01070","OKCJCEOA_01074","KJPMMKDD_01171","ALJJNEKE_01140","NOKOPPJF_01185"
"ptsG_1","","PTS system glucose-specific EIICB component","11","11","1","1","3359","","","","776","1433","1373","MLKLJMNP_02963","CPCHNOAG_01070","MMFKLIDH_01067","BLOBBDCK_01243","HONHGEAM_01192","JFLNLICH_03894","NFALKJBE_01063","OKCJCEOA_01067","KJPMMKDD_01164","ALJJNEKE_01133","NOKOPPJF_01178"
"fabH","","3-oxoacyl-[acyl-carrier-protein] synthase 3","11","11","1","1","3346","","","","821","953","941","MLKLJMNP_02973","CPCHNOAG_01060","MMFKLIDH_01057","BLOBBDCK_01233","HONHGEAM_01182","JFLNLICH_03883","NFALKJBE_01053","OKCJCEOA_01057","KJPMMKDD_01153","ALJJNEKE_01123","NOKOPPJF_01168"
"flgE","","Flagellar hook protein FlgE","11","11","1","1","2834","","","","1205","1205","1205","MLKLJMNP_02987","CPCHNOAG_01046","MMFKLIDH_01043","BLOBBDCK_01219","HONHGEAM_01168","JFLNLICH_03869","NFALKJBE_01039","OKCJCEOA_01043","KJPMMKDD_01139","ALJJNEKE_01109","NOKOPPJF_01154"
"flgN","","Flagella synthesis protein FlgN","11","11","1","1","2840","","","","416","416","416","MLKLJMNP_02993","CPCHNOAG_01040","MMFKLIDH_01037","BLOBBDCK_01213","HONHGEAM_01162","JFLNLICH_03863","NFALKJBE_01033","OKCJCEOA_01037","KJPMMKDD_01133","ALJJNEKE_01103","NOKOPPJF_01148"
"sbnD","","Staphyloferrin B transporter","11","11","1","1","2859","","","","971","1226","1202","MLKLJMNP_03010","CPCHNOAG_01023","MMFKLIDH_01020","BLOBBDCK_01195","HONHGEAM_01145","JFLNLICH_03846","NFALKJBE_01016","OKCJCEOA_01020","KJPMMKDD_01116","ALJJNEKE_01086","NOKOPPJF_01130"
"group_1052","","hypothetical protein","11","11","1","1","2861","","","","227","227","227","MLKLJMNP_03012","CPCHNOAG_01021","MMFKLIDH_01018","BLOBBDCK_01193","HONHGEAM_01143","JFLNLICH_03844","NFALKJBE_01014","OKCJCEOA_01018","KJPMMKDD_01114","ALJJNEKE_01084","NOKOPPJF_01128"
"dgcT","","putative diguanylate cyclase DgcT","11","11","1","1","2905","","","","1268","1367","1357","MLKLJMNP_03123","CPCHNOAG_01001","MMFKLIDH_00998","BLOBBDCK_01051","HONHGEAM_01062","JFLNLICH_03824","NFALKJBE_00994","OKCJCEOA_00998","KJPMMKDD_01032","ALJJNEKE_01003","NOKOPPJF_01105"
"appA","","Periplasmic AppA protein","11","11","1","1","4091","","","","1298","1310","1308","MLKLJMNP_03157","CPCHNOAG_00965","MMFKLIDH_00962","BLOBBDCK_01014","HONHGEAM_01025","JFLNLICH_03787","NFALKJBE_00902","OKCJCEOA_00900","KJPMMKDD_00993","ALJJNEKE_00967","NOKOPPJF_01062"
"group_1063","","hypothetical protein","11","11","1","1","4095","","","","857","857","857","MLKLJMNP_03161","CPCHNOAG_00961","MMFKLIDH_00958","BLOBBDCK_01010","HONHGEAM_01021","JFLNLICH_03783","NFALKJBE_00898","OKCJCEOA_00896","KJPMMKDD_00989","ALJJNEKE_00963","NOKOPPJF_01058"
"hyaD","","Hydrogenase 1 maturation protease","11","11","1","1","4098","","","","587","587","587","MLKLJMNP_03163","CPCHNOAG_00959","MMFKLIDH_00956","BLOBBDCK_01008","HONHGEAM_01019","JFLNLICH_03781","NFALKJBE_00896","OKCJCEOA_00894","KJPMMKDD_00987","ALJJNEKE_00961","NOKOPPJF_01056"
"hyaC","","putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit","11","11","1","1","4099","","","","368","707","676","MLKLJMNP_03164","CPCHNOAG_00958","MMFKLIDH_00955","BLOBBDCK_01007","HONHGEAM_01018","JFLNLICH_03780","NFALKJBE_00895","OKCJCEOA_00893","KJPMMKDD_00985","ALJJNEKE_00960","NOKOPPJF_01055"
"yccX","","Acylphosphatase","11","11","1","1","4104","","","","278","278","278","MLKLJMNP_03170","CPCHNOAG_00952","MMFKLIDH_00949","BLOBBDCK_01001","HONHGEAM_01012","JFLNLICH_03774","NFALKJBE_00889","OKCJCEOA_00887","KJPMMKDD_00979","ALJJNEKE_00954","NOKOPPJF_01049"
"sulA","","Cell division inhibitor SulA","11","11","1","1","4114","","","","380","509","497","MLKLJMNP_03180","CPCHNOAG_00942","MMFKLIDH_00939","BLOBBDCK_00991","HONHGEAM_01002","JFLNLICH_03764","NFALKJBE_00879","OKCJCEOA_00877","KJPMMKDD_00968","ALJJNEKE_00944","NOKOPPJF_01039"
"kdsB","","3-deoxy-manno-octulosonate cytidylyltransferase","11","11","1","1","4156","","","","470","746","720","MLKLJMNP_03213","CPCHNOAG_00909","MMFKLIDH_00906","BLOBBDCK_00958","HONHGEAM_00969","JFLNLICH_03731","NFALKJBE_00846","OKCJCEOA_00844","KJPMMKDD_00934","ALJJNEKE_00911","NOKOPPJF_00998"
"group_1074","","hypothetical protein","11","11","1","1","4162","","","","1865","2264","2227","MLKLJMNP_03218","CPCHNOAG_00904","MMFKLIDH_00901","BLOBBDCK_00952","HONHGEAM_00964","JFLNLICH_03726","NFALKJBE_00841","OKCJCEOA_00839","KJPMMKDD_00929","ALJJNEKE_00906","NOKOPPJF_00992"
"clpA","","ATP-dependent Clp protease ATP-binding subunit ClpA","11","11","1","1","6195","","","","1772","2276","2230","MLKLJMNP_03246","CPCHNOAG_00826","MMFKLIDH_00866","BLOBBDCK_00923","HONHGEAM_00884","JFLNLICH_03686","NFALKJBE_00806","OKCJCEOA_00805","KJPMMKDD_00893","ALJJNEKE_00817","NOKOPPJF_00921"
"group_1083","","hypothetical protein","11","11","1","1","6391","","","","1430","1430","1430","MLKLJMNP_03259","CPCHNOAG_00813","MMFKLIDH_00853","BLOBBDCK_00910","HONHGEAM_00855","JFLNLICH_03672","NFALKJBE_00793","OKCJCEOA_00792","KJPMMKDD_00880","ALJJNEKE_00804","NOKOPPJF_00908"
"oleD_1","","2-alkyl-3-oxoalkanoate reductase","11","11","1","1","6390","","","","557","1049","981","MLKLJMNP_03260","CPCHNOAG_00812","MMFKLIDH_00852","BLOBBDCK_00909","HONHGEAM_00854","JFLNLICH_03671","NFALKJBE_00792","OKCJCEOA_00791","KJPMMKDD_00878","ALJJNEKE_00803","NOKOPPJF_00907"
"ybjN","","putative protein YbjN","11","11","1","1","6373","","","","272","476","457","MLKLJMNP_03275","CPCHNOAG_00797","MMFKLIDH_00837","BLOBBDCK_00894","HONHGEAM_00839","JFLNLICH_03656","NFALKJBE_00777","OKCJCEOA_00776","KJPMMKDD_00863","ALJJNEKE_00788","NOKOPPJF_00892"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","11","11","1","1","6291","","","","719","815","806","MLKLJMNP_03284","CPCHNOAG_00788","MMFKLIDH_00827","BLOBBDCK_00840","HONHGEAM_00830","JFLNLICH_03600","NFALKJBE_00768","OKCJCEOA_00767","KJPMMKDD_00799","ALJJNEKE_00779","NOKOPPJF_00862"
"gstB","","Glutathione S-transferase GstB","11","11","1","1","6285","","","","470","626","611","MLKLJMNP_03290","CPCHNOAG_00782","MMFKLIDH_00821","BLOBBDCK_00834","HONHGEAM_00824","JFLNLICH_03594","NFALKJBE_00762","OKCJCEOA_00761","KJPMMKDD_00792","ALJJNEKE_00773","NOKOPPJF_00856"
"mcbA","","putative protein McbA","11","11","1","1","6249","","","","260","260","260","MLKLJMNP_03321","CPCHNOAG_00750","MMFKLIDH_00789","BLOBBDCK_00803","HONHGEAM_00793","JFLNLICH_03561","NFALKJBE_00731","OKCJCEOA_00729","KJPMMKDD_00760","ALJJNEKE_00742","NOKOPPJF_00824"
"fiu","","Catecholate siderophore receptor Fiu","11","11","1","1","6248","","","","1295","2282","2192","MLKLJMNP_03322","CPCHNOAG_00749","MMFKLIDH_00788","BLOBBDCK_00802","HONHGEAM_00792","JFLNLICH_03560","NFALKJBE_00730","OKCJCEOA_00728","KJPMMKDD_00759","ALJJNEKE_00741","NOKOPPJF_00823"
"group_1097","","hypothetical protein","11","11","1","1","6236","","","","746","995","972","MLKLJMNP_03332","CPCHNOAG_00740","MMFKLIDH_00778","BLOBBDCK_00792","HONHGEAM_00783","JFLNLICH_03550","NFALKJBE_00720","OKCJCEOA_00718","KJPMMKDD_00748","ALJJNEKE_00732","NOKOPPJF_00812"
"clsB","","Cardiolipin synthase B","11","11","1","1","6230","","","","755","1241","1196","MLKLJMNP_03338","CPCHNOAG_00734","MMFKLIDH_00772","BLOBBDCK_00786","HONHGEAM_00777","JFLNLICH_03544","NFALKJBE_00714","OKCJCEOA_00712","KJPMMKDD_00742","ALJJNEKE_00726","NOKOPPJF_00806"
"ybhN","","Inner membrane protein YbhN","11","11","1","1","6229","","","","785","956","940","MLKLJMNP_03339","CPCHNOAG_00733","MMFKLIDH_00771","BLOBBDCK_00785","HONHGEAM_00776","JFLNLICH_03543","NFALKJBE_00713","OKCJCEOA_00711","KJPMMKDD_00739","ALJJNEKE_00725","NOKOPPJF_00805"
"bioD1_1","","ATP-dependent dethiobiotin synthetase BioD 1","11","11","1","1","6124","","","","677","677","677","MLKLJMNP_03349","CPCHNOAG_00723","MMFKLIDH_00761","BLOBBDCK_00775","HONHGEAM_00766","JFLNLICH_03533","NFALKJBE_00703","OKCJCEOA_00701","KJPMMKDD_00729","ALJJNEKE_00715","NOKOPPJF_00795"
"bioA","","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","11","11","1","1","6129","","","","1121","1289","1273","MLKLJMNP_03353","CPCHNOAG_00719","MMFKLIDH_00757","BLOBBDCK_00771","HONHGEAM_00762","JFLNLICH_03529","NFALKJBE_00699","OKCJCEOA_00697","KJPMMKDD_00725","ALJJNEKE_00711","NOKOPPJF_00791"
"cpoB","","Cell division coordinator CpoB","11","11","1","1","6091","","","","665","791","779","MLKLJMNP_03391","CPCHNOAG_00687","MMFKLIDH_00724","BLOBBDCK_00737","HONHGEAM_00730","JFLNLICH_03497","NFALKJBE_00666","OKCJCEOA_00664","KJPMMKDD_00692","ALJJNEKE_00679","NOKOPPJF_00726"
"tolA","","hypothetical protein","11","11","1","1","6087","","","","902","1265","1217","MLKLJMNP_03394","CPCHNOAG_00684","MMFKLIDH_00721","BLOBBDCK_00734","HONHGEAM_00727","JFLNLICH_03494","NFALKJBE_00663","OKCJCEOA_00661","KJPMMKDD_00689","ALJJNEKE_00676","NOKOPPJF_00723"
"cydA","","Cytochrome bd-I ubiquinol oxidase subunit 1","11","11","1","1","6080","","","","1265","1568","1540","MLKLJMNP_03401","CPCHNOAG_00677","MMFKLIDH_00714","BLOBBDCK_00727","HONHGEAM_00720","JFLNLICH_03487","NFALKJBE_00656","OKCJCEOA_00654","KJPMMKDD_00682","ALJJNEKE_00669","NOKOPPJF_00716"
"group_1113","","hypothetical protein","11","11","1","1","6065","","","","242","1061","388","MLKLJMNP_03414","CPCHNOAG_00664","MMFKLIDH_00701","BLOBBDCK_00714","HONHGEAM_00707","JFLNLICH_03474","NFALKJBE_00644","OKCJCEOA_00642","KJPMMKDD_00667","ALJJNEKE_00656","NOKOPPJF_00699"
"potE","","Putrescine transporter PotE","11","11","1","1","6039","","","","425","1319","1237","MLKLJMNP_03432","CPCHNOAG_00647","MMFKLIDH_00684","BLOBBDCK_00697","HONHGEAM_00690","JFLNLICH_03457","NFALKJBE_00627","OKCJCEOA_00625","KJPMMKDD_00648","ALJJNEKE_00639","NOKOPPJF_00677"
"chiQ","","putative lipoprotein ChiQ","11","11","1","1","6032","","","","284","326","322","MLKLJMNP_03439","CPCHNOAG_00640","MMFKLIDH_00677","BLOBBDCK_00690","HONHGEAM_00683","JFLNLICH_03450","NFALKJBE_00620","OKCJCEOA_00618","KJPMMKDD_00641","ALJJNEKE_00632","NOKOPPJF_00670"
"corC","","Magnesium and cobalt efflux protein CorC","11","11","1","1","6006","","","","476","878","841","MLKLJMNP_03468","CPCHNOAG_00610","MMFKLIDH_00645","BLOBBDCK_00660","HONHGEAM_00653","JFLNLICH_03420","NFALKJBE_00591","OKCJCEOA_00589","KJPMMKDD_00608","ALJJNEKE_00602","NOKOPPJF_00650"
"citG","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase","11","11","1","1","5967","","","","878","878","878","MLKLJMNP_03505","CPCHNOAG_00574","MMFKLIDH_00609","BLOBBDCK_00623","HONHGEAM_00617","JFLNLICH_03383","NFALKJBE_00554","OKCJCEOA_00552","KJPMMKDD_00570","ALJJNEKE_00566","NOKOPPJF_00605"
"hcxA","","Hydroxycarboxylate dehydrogenase A","11","11","1","1","5954","","","","1088","1088","1088","MLKLJMNP_03518","CPCHNOAG_00561","MMFKLIDH_00596","BLOBBDCK_00610","HONHGEAM_00604","JFLNLICH_03370","NFALKJBE_00541","OKCJCEOA_00539","KJPMMKDD_00557","ALJJNEKE_00553","NOKOPPJF_00591"
"fepE","","Ferric enterobactin transport protein FepE","11","11","1","1","2369","","","","1112","1133","1131","MLKLJMNP_03531","CPCHNOAG_00548","MMFKLIDH_00583","BLOBBDCK_00597","HONHGEAM_00591","JFLNLICH_03357","NFALKJBE_00528","OKCJCEOA_00526","KJPMMKDD_00543","ALJJNEKE_00540","NOKOPPJF_00578"
"fes","","Enterochelin esterase","11","11","1","1","2372","","","","1202","1202","1202","MLKLJMNP_03534","CPCHNOAG_00545","MMFKLIDH_00580","BLOBBDCK_00594","HONHGEAM_00588","JFLNLICH_03354","NFALKJBE_00525","OKCJCEOA_00523","KJPMMKDD_00540","ALJJNEKE_00537","NOKOPPJF_00575"
"entD","","Enterobactin synthase component D","11","11","1","1","2375","","","","743","743","743","MLKLJMNP_03536","CPCHNOAG_00542","MMFKLIDH_00578","BLOBBDCK_00592","HONHGEAM_00586","JFLNLICH_03352","NFALKJBE_00523","OKCJCEOA_00521","KJPMMKDD_00538","ALJJNEKE_00535","NOKOPPJF_00573"
"group_1129","","hypothetical protein","11","11","1","1","2380","","","","248","278","253","MLKLJMNP_03540","CPCHNOAG_00538","MMFKLIDH_00574","BLOBBDCK_00589","HONHGEAM_00582","JFLNLICH_03348","NFALKJBE_00518","OKCJCEOA_00516","KJPMMKDD_00534","ALJJNEKE_00531","NOKOPPJF_00570"
"cusA","","Cation efflux system protein CusA","11","11","1","1","2385","","","","1688","3143","3010","MLKLJMNP_03545","CPCHNOAG_00533","MMFKLIDH_00569","BLOBBDCK_00584","HONHGEAM_00577","JFLNLICH_03343","NFALKJBE_00513","OKCJCEOA_00511","KJPMMKDD_00529","ALJJNEKE_00526","NOKOPPJF_00565"
"cusS","","Sensor histidine kinase CusS","11","11","1","1","2391","","","","1442","1448","1442","MLKLJMNP_03550","CPCHNOAG_00528","MMFKLIDH_00564","BLOBBDCK_00579","HONHGEAM_00572","JFLNLICH_03338","NFALKJBE_00508","OKCJCEOA_00506","KJPMMKDD_00523","ALJJNEKE_00521","NOKOPPJF_00560"
"group_1133","","hypothetical protein","11","11","1","1","2400","","","","2147","2237","2222","MLKLJMNP_03551","CPCHNOAG_00527","MMFKLIDH_00563","BLOBBDCK_00578","HONHGEAM_00571","JFLNLICH_03337","NFALKJBE_00507","OKCJCEOA_00505","KJPMMKDD_00522","ALJJNEKE_00520","NOKOPPJF_00552"
"ybcI","","Inner membrane protein YbcI","11","11","1","1","5173","","","","407","521","510","MLKLJMNP_03560","CPCHNOAG_00518","MMFKLIDH_00553","BLOBBDCK_00569","HONHGEAM_00503","JFLNLICH_03328","NFALKJBE_00498","OKCJCEOA_00496","KJPMMKDD_00512","ALJJNEKE_00511","NOKOPPJF_00503"
"ybbW","","Putative allantoin permease","11","11","1","1","5157","","","","884","1454","1402","MLKLJMNP_03577","CPCHNOAG_00501","MMFKLIDH_00536","BLOBBDCK_00552","HONHGEAM_00485","JFLNLICH_03311","NFALKJBE_00481","OKCJCEOA_00479","KJPMMKDD_00495","ALJJNEKE_00494","NOKOPPJF_00486"
"fetB","","putative iron export permease protein FetB","11","11","1","1","5144","","","","554","779","758","MLKLJMNP_03590","CPCHNOAG_00488","MMFKLIDH_00523","BLOBBDCK_00539","HONHGEAM_00472","JFLNLICH_03298","NFALKJBE_00468","OKCJCEOA_00466","KJPMMKDD_00482","ALJJNEKE_00481","NOKOPPJF_00473"
"ybaL","","Putative cation/proton antiporter YbaL","11","11","1","1","5125","","","","1112","1676","1624","MLKLJMNP_03606","CPCHNOAG_00468","MMFKLIDH_00503","BLOBBDCK_00524","HONHGEAM_00452","JFLNLICH_03277","NFALKJBE_00451","OKCJCEOA_00449","KJPMMKDD_00461","ALJJNEKE_00461","NOKOPPJF_00460"
"aes","","Acetyl esterase","11","11","1","1","5122","","","","959","968","961","MLKLJMNP_03608","CPCHNOAG_00466","MMFKLIDH_00501","BLOBBDCK_00522","HONHGEAM_00450","JFLNLICH_03275","NFALKJBE_00449","OKCJCEOA_00447","KJPMMKDD_00459","ALJJNEKE_00459","NOKOPPJF_00458"
"acrB_1","","Multidrug efflux pump subunit AcrB","11","11","1","1","5108","","","","1958","3149","3040","MLKLJMNP_03622","CPCHNOAG_00452","MMFKLIDH_00487","BLOBBDCK_00508","HONHGEAM_00436","JFLNLICH_03261","NFALKJBE_00435","OKCJCEOA_00433","KJPMMKDD_00444","ALJJNEKE_00445","NOKOPPJF_00444"
"mdlB","","Multidrug resistance-like ATP-binding protein MdlB","11","11","1","1","5095","","","","1412","1781","1747","MLKLJMNP_03634","CPCHNOAG_00440","MMFKLIDH_00475","BLOBBDCK_00496","HONHGEAM_00424","JFLNLICH_03249","NFALKJBE_00423","OKCJCEOA_00421","KJPMMKDD_00432","ALJJNEKE_00433","NOKOPPJF_00432"
"ppiD","","Peptidyl-prolyl cis-trans isomerase D","11","11","1","1","5086","","","","1571","1871","1843","MLKLJMNP_03642","CPCHNOAG_00432","MMFKLIDH_00467","BLOBBDCK_00487","HONHGEAM_00416","JFLNLICH_03241","NFALKJBE_00415","OKCJCEOA_00413","KJPMMKDD_00422","ALJJNEKE_00425","NOKOPPJF_00424"
"cyoD","","Cytochrome bo(3) ubiquinol oxidase subunit 4","11","11","1","1","5073","","","","329","329","329","MLKLJMNP_03654","CPCHNOAG_00420","MMFKLIDH_00455","BLOBBDCK_00475","HONHGEAM_00404","JFLNLICH_03229","NFALKJBE_00403","OKCJCEOA_00401","KJPMMKDD_00409","ALJJNEKE_00413","NOKOPPJF_00412"
"cyoE","","Protoheme IX farnesyltransferase","11","11","1","1","5072","","","","530","890","857","MLKLJMNP_03655","CPCHNOAG_00419","MMFKLIDH_00454","BLOBBDCK_00474","HONHGEAM_00403","JFLNLICH_03228","NFALKJBE_00402","OKCJCEOA_00400","KJPMMKDD_00407","ALJJNEKE_00412","NOKOPPJF_00411"
"yajR","","Inner membrane transport protein YajR","11","11","1","1","5071","","","","1163","1364","1345","MLKLJMNP_03656","CPCHNOAG_00418","MMFKLIDH_00453","BLOBBDCK_00473","HONHGEAM_00402","JFLNLICH_03227","NFALKJBE_00401","OKCJCEOA_00399","KJPMMKDD_00406","ALJJNEKE_00411","NOKOPPJF_00410"
"pdeL","","Cyclic di-GMP phosphodiesterase PdeL","11","11","1","1","2676","","","","740","1088","1056","MLKLJMNP_03746","CPCHNOAG_00323","MMFKLIDH_00357","BLOBBDCK_00384","HONHGEAM_00306","JFLNLICH_03132","NFALKJBE_00311","OKCJCEOA_00309","KJPMMKDD_00306","ALJJNEKE_00315","NOKOPPJF_00305"
"group_1162","","hypothetical protein","11","11","1","1","2691","","","","668","668","668","MLKLJMNP_03757","CPCHNOAG_00312","MMFKLIDH_00344","BLOBBDCK_00373","HONHGEAM_00295","JFLNLICH_03121","NFALKJBE_00300","OKCJCEOA_00296","KJPMMKDD_00295","ALJJNEKE_00304","NOKOPPJF_00300"
"ycgJ","","putative methyltransferase YcgJ","11","11","1","1","582","","","","770","770","770","MLKLJMNP_03863","CPCHNOAG_00210","MMFKLIDH_00239","BLOBBDCK_00223","HONHGEAM_00209","JFLNLICH_03006","NFALKJBE_00208","OKCJCEOA_00207","KJPMMKDD_00206","ALJJNEKE_00208","NOKOPPJF_00205"
"dxr","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","11","11","1","1","543","","","","665","1196","1147","MLKLJMNP_03900","CPCHNOAG_00173","MMFKLIDH_00203","BLOBBDCK_00185","HONHGEAM_00171","JFLNLICH_02968","NFALKJBE_00171","OKCJCEOA_00170","KJPMMKDD_00169","ALJJNEKE_00171","NOKOPPJF_00167"
"cueO","","Blue copper oxidase CueO","11","11","1","1","1289","","","","944","1550","1494","MLKLJMNP_03950","CPCHNOAG_00125","MMFKLIDH_00155","BLOBBDCK_00134","HONHGEAM_00123","JFLNLICH_02919","NFALKJBE_00122","OKCJCEOA_00122","KJPMMKDD_00120","ALJJNEKE_00123","NOKOPPJF_00119"
"group_1179","","hypothetical protein","11","11","1","1","1714","","","","440","440","440","MLKLJMNP_03969","CPCHNOAG_00105","MMFKLIDH_00136","BLOBBDCK_00112","HONHGEAM_00104","JFLNLICH_02899","NFALKJBE_00103","OKCJCEOA_00103","KJPMMKDD_00101","ALJJNEKE_00104","NOKOPPJF_00104"
"fixB_1","","Protein FixB","11","11","1","1","4920","","","","419","941","893","MLKLJMNP_04031","CPCHNOAG_00040","MMFKLIDH_00072","BLOBBDCK_00043","HONHGEAM_00040","JFLNLICH_02834","NFALKJBE_00039","OKCJCEOA_00039","KJPMMKDD_00037","ALJJNEKE_00040","NOKOPPJF_00043"
"group_1184","","hypothetical protein","11","11","1","1","4993","","","","296","296","296","MLKLJMNP_04066","CPCHNOAG_00004","MMFKLIDH_00004","BLOBBDCK_00005","HONHGEAM_00004","JFLNLICH_02797","NFALKJBE_00004","OKCJCEOA_00004","KJPMMKDD_00001","ALJJNEKE_00004","NOKOPPJF_00004"
"trmH_2","","tRNA (guanosine(18)-2'-O)-methyltransferase","11","11","1","1","4997","","","","686","704","687","MLKLJMNP_04070","CPCHNOAG_04922","MMFKLIDH_04920","BLOBBDCK_04992","HONHGEAM_04915","JFLNLICH_02793","NFALKJBE_04497","OKCJCEOA_04473","KJPMMKDD_04993","ALJJNEKE_04798","NOKOPPJF_04588"
"fldI","","(R)-phenyllactate dehydratase activator","11","11","1","1","39","","","","767","767","767","MLKLJMNP_04138","CPCHNOAG_04798","MMFKLIDH_04796","BLOBBDCK_04922","HONHGEAM_04790","JFLNLICH_02724","NFALKJBE_04429","OKCJCEOA_04405","KJPMMKDD_04922","ALJJNEKE_04674","NOKOPPJF_04517"
"qseD","","HTH domain-truncated transcriptional regulator QseD","11","11","1","1","30","","","","728","956","827","MLKLJMNP_04146","CPCHNOAG_04789","MMFKLIDH_04787","BLOBBDCK_04913","HONHGEAM_04781","JFLNLICH_02715","NFALKJBE_04421","OKCJCEOA_04397","KJPMMKDD_04912","ALJJNEKE_04665","NOKOPPJF_04509"
