	042	11128	11368	2009EL-2050	55989	78-Pyelo	APECO1	BEN2908	CFT073	E2348_69	E24377A	H10407	IHE3034	IMT5155	K12	LF82	NRG857c	O157H7_EDL933	O157H7_Sakai	RS218	SCU-397	UTI89	chi7122
OG0007393	fig|6666666.1469307.peg.2881																						
OG0007394	fig|6666666.1469307.peg.2900																						
OG0007395	fig|6666666.1469307.peg.3036																						
OG0007396	fig|6666666.1469307.peg.3084																						
OG0007397	fig|6666666.1469307.peg.3605																						
OG0007398	fig|6666666.1469307.peg.3719																						
OG0007399	fig|6666666.1469307.peg.3720																						
OG0007400	fig|6666666.1469307.peg.3721																						
OG0007401	fig|6666666.1469307.peg.3726																						
OG0007402	fig|6666666.1469307.peg.3727																						
OG0007403	fig|6666666.1469307.peg.3734																						
OG0007404	fig|6666666.1469307.peg.3775																						
OG0007405	fig|6666666.1469307.peg.3917																						
OG0007406	fig|6666666.1469307.peg.4217																						
OG0007407	fig|6666666.1469307.peg.4369																						
OG0007408	fig|6666666.1469307.peg.4371																						
OG0007409	fig|6666666.1469307.peg.4444																						
OG0007410	fig|6666666.1469307.peg.4482																						
OG0007411		fig|6666666.1469312.peg.141																					
OG0007412		fig|6666666.1469312.peg.216																					
OG0007413		fig|6666666.1469312.peg.229																					
OG0007414		fig|6666666.1469312.peg.286																					
OG0007415		fig|6666666.1469312.peg.317																					
OG0007416		fig|6666666.1469312.peg.318																					
OG0007417		fig|6666666.1469312.peg.325																					
OG0007418		fig|6666666.1469312.peg.326																					
OG0007419		fig|6666666.1469312.peg.434																					
OG0007420		fig|6666666.1469312.peg.641																					
OG0007421		fig|6666666.1469312.peg.642																					
OG0007422		fig|6666666.1469312.peg.817																					
OG0007423		fig|6666666.1469312.peg.902																					
OG0007424		fig|6666666.1469312.peg.904																					
OG0007425		fig|6666666.1469312.peg.906																					
OG0007426		fig|6666666.1469312.peg.907																					
OG0007427		fig|6666666.1469312.peg.908																					
OG0007428		fig|6666666.1469312.peg.1110																					
OG0007429		fig|6666666.1469312.peg.1242																					
OG0007430		fig|6666666.1469312.peg.1455																					
OG0007431		fig|6666666.1469312.peg.1457																					
OG0007432		fig|6666666.1469312.peg.1468																					
OG0007433		fig|6666666.1469312.peg.1549																					
OG0007434		fig|6666666.1469312.peg.1626																					
OG0007435		fig|6666666.1469312.peg.1644																					
OG0007436		fig|6666666.1469312.peg.1647																					
OG0007437		fig|6666666.1469312.peg.1649																					
OG0007438		fig|6666666.1469312.peg.1652																					
OG0007439		fig|6666666.1469312.peg.1679																					
OG0007440		fig|6666666.1469312.peg.1714																					
OG0007441		fig|6666666.1469312.peg.1748																					
OG0007442		fig|6666666.1469312.peg.1788																					
OG0007443		fig|6666666.1469312.peg.1819																					
OG0007444		fig|6666666.1469312.peg.1857																					
OG0007445		fig|6666666.1469312.peg.1868																					
OG0007446		fig|6666666.1469312.peg.1897																					
OG0007447		fig|6666666.1469312.peg.1967																					
OG0007448		fig|6666666.1469312.peg.2008																					
OG0007449		fig|6666666.1469312.peg.2061																					
OG0007450		fig|6666666.1469312.peg.2081																					
OG0007451		fig|6666666.1469312.peg.2090																					
OG0007452		fig|6666666.1469312.peg.2092																					
OG0007453		fig|6666666.1469312.peg.2247																					
OG0007454		fig|6666666.1469312.peg.2277																					
OG0007455		fig|6666666.1469312.peg.2303																					
OG0007456		fig|6666666.1469312.peg.2495																					
OG0007457		fig|6666666.1469312.peg.2515																					
OG0007458		fig|6666666.1469312.peg.2590																					
OG0007459		fig|6666666.1469312.peg.2618																					
OG0007460		fig|6666666.1469312.peg.2658																					
OG0007461		fig|6666666.1469312.peg.2659																					
OG0007462		fig|6666666.1469312.peg.2671																					
OG0007463		fig|6666666.1469312.peg.2765																					
OG0007464		fig|6666666.1469312.peg.2802																					
OG0007465		fig|6666666.1469312.peg.2822																					
OG0007466		fig|6666666.1469312.peg.2823																					
OG0007467		fig|6666666.1469312.peg.2828																					
OG0007468		fig|6666666.1469312.peg.2829																					
OG0007469		fig|6666666.1469312.peg.2830																					
OG0007470		fig|6666666.1469312.peg.2831																					
OG0007471		fig|6666666.1469312.peg.2843																					
OG0007472		fig|6666666.1469312.peg.2848																					
OG0007473		fig|6666666.1469312.peg.2949																					
OG0007474		fig|6666666.1469312.peg.2951																					
OG0007475		fig|6666666.1469312.peg.2952																					
OG0007476		fig|6666666.1469312.peg.2998																					
OG0007477		fig|6666666.1469312.peg.3047																					
OG0007478		fig|6666666.1469312.peg.3074																					
OG0007479		fig|6666666.1469312.peg.3194																					
OG0007480		fig|6666666.1469312.peg.3223																					
OG0007481		fig|6666666.1469312.peg.3307																					
OG0007482		fig|6666666.1469312.peg.3358																					
OG0007483		fig|6666666.1469312.peg.3360																					
OG0007484		fig|6666666.1469312.peg.3463																					
OG0007485		fig|6666666.1469312.peg.3508																					
OG0007486		fig|6666666.1469312.peg.3829																					
OG0007487		fig|6666666.1469312.peg.3832																					
OG0007488		fig|6666666.1469312.peg.3850																					
OG0007489		fig|6666666.1469312.peg.3881																					
OG0007490		fig|6666666.1469312.peg.3887																					
OG0007491		fig|6666666.1469312.peg.3929																					
OG0007492		fig|6666666.1469312.peg.4228																					
OG0007493		fig|6666666.1469312.peg.4281																					
OG0007494		fig|6666666.1469312.peg.4283																					
OG0007495		fig|6666666.1469312.peg.4561																					
OG0007496		fig|6666666.1469312.peg.4622																					
OG0007497		fig|6666666.1469312.peg.4640																					
OG0007498		fig|6666666.1469312.peg.4703																					
OG0007499		fig|6666666.1469312.peg.4733																					
OG0007500		fig|6666666.1469312.peg.5005																					
OG0007501		fig|6666666.1469312.peg.5034																					
OG0007502		fig|6666666.1469312.peg.5086																					
OG0007503		fig|6666666.1469312.peg.5177																					
OG0007504		fig|6666666.1469312.peg.5316																					
OG0007505		fig|6666666.1469312.peg.5333																					
OG0007506		fig|6666666.1469312.peg.5336																					
OG0007507		fig|6666666.1469312.peg.5337																					
OG0007508		fig|6666666.1469312.peg.5339																					
OG0007509		fig|6666666.1469312.peg.5340																					
OG0007510		fig|6666666.1469312.peg.5341																					
OG0007511		fig|6666666.1469312.peg.5342																					
OG0007512		fig|6666666.1469312.peg.5390																					
OG0007513		fig|6666666.1469312.peg.5428																					
OG0007514			fig|6666666.1469314.peg.99																				
OG0007515			fig|6666666.1469314.peg.314																				
OG0007516			fig|6666666.1469314.peg.338																				
OG0007517			fig|6666666.1469314.peg.432																				
OG0007518			fig|6666666.1469314.peg.594																				
OG0007519			fig|6666666.1469314.peg.600																				
OG0007520			fig|6666666.1469314.peg.657																				
OG0007521			fig|6666666.1469314.peg.745																				
OG0007522			fig|6666666.1469314.peg.793																				
OG0007523			fig|6666666.1469314.peg.864																				
OG0007524			fig|6666666.1469314.peg.877																				
OG0007525			fig|6666666.1469314.peg.885																				
OG0007526			fig|6666666.1469314.peg.888																				
OG0007527			fig|6666666.1469314.peg.893																				
OG0007528			fig|6666666.1469314.peg.963																				
OG0007529			fig|6666666.1469314.peg.1225																				
OG0007530			fig|6666666.1469314.peg.1226																				
OG0007531			fig|6666666.1469314.peg.1228																				
OG0007532			fig|6666666.1469314.peg.1246																				
OG0007533			fig|6666666.1469314.peg.1256																				
OG0007534			fig|6666666.1469314.peg.1333																				
OG0007535			fig|6666666.1469314.peg.1374																				
OG0007536			fig|6666666.1469314.peg.1400																				
OG0007537			fig|6666666.1469314.peg.1597																				
OG0007538			fig|6666666.1469314.peg.1599																				
OG0007539			fig|6666666.1469314.peg.1607																				
OG0007540			fig|6666666.1469314.peg.1638																				
OG0007541			fig|6666666.1469314.peg.1643																				
OG0007542			fig|6666666.1469314.peg.1649																				
OG0007543			fig|6666666.1469314.peg.1651																				
OG0007544			fig|6666666.1469314.peg.1652																				
OG0007545			fig|6666666.1469314.peg.1657																				
OG0007546			fig|6666666.1469314.peg.1681																				
OG0007547			fig|6666666.1469314.peg.1709																				
OG0007548			fig|6666666.1469314.peg.1712																				
OG0007549			fig|6666666.1469314.peg.1726																				
OG0007550			fig|6666666.1469314.peg.1727																				
OG0007551			fig|6666666.1469314.peg.1733																				
OG0007552			fig|6666666.1469314.peg.1735																				
OG0007553			fig|6666666.1469314.peg.1747																				
OG0007554			fig|6666666.1469314.peg.1872																				
OG0007555			fig|6666666.1469314.peg.1880																				
OG0007556			fig|6666666.1469314.peg.1888																				
OG0007557			fig|6666666.1469314.peg.1898																				
OG0007558			fig|6666666.1469314.peg.2022																				
OG0007559			fig|6666666.1469314.peg.2120																				
OG0007560			fig|6666666.1469314.peg.2230																				
OG0007561			fig|6666666.1469314.peg.2241																				
OG0007562			fig|6666666.1469314.peg.2272																				
OG0007563			fig|6666666.1469314.peg.2285																				
OG0007564			fig|6666666.1469314.peg.2308																				
OG0007565			fig|6666666.1469314.peg.2339																				
OG0007566			fig|6666666.1469314.peg.2342																				
OG0007567			fig|6666666.1469314.peg.2344																				
OG0007568			fig|6666666.1469314.peg.2347																				
OG0007569			fig|6666666.1469314.peg.2348																				
OG0007570			fig|6666666.1469314.peg.2351																				
OG0007571			fig|6666666.1469314.peg.2352																				
OG0007572			fig|6666666.1469314.peg.2354																				
OG0007573			fig|6666666.1469314.peg.2392																				
OG0007574			fig|6666666.1469314.peg.2393																				
OG0007575			fig|6666666.1469314.peg.2405																				
OG0007576			fig|6666666.1469314.peg.2411																				
OG0007577			fig|6666666.1469314.peg.2415																				
OG0007578			fig|6666666.1469314.peg.2538																				
OG0007579			fig|6666666.1469314.peg.2571																				
OG0007580			fig|6666666.1469314.peg.2572																				
OG0007581			fig|6666666.1469314.peg.2573																				
OG0007582			fig|6666666.1469314.peg.2745																				
OG0007583			fig|6666666.1469314.peg.2758																				
OG0007584			fig|6666666.1469314.peg.2778																				
OG0007585			fig|6666666.1469314.peg.2841																				
OG0007586			fig|6666666.1469314.peg.2901																				
OG0007587			fig|6666666.1469314.peg.2926																				
OG0007588			fig|6666666.1469314.peg.2951																				
OG0007589			fig|6666666.1469314.peg.2986																				
OG0007590			fig|6666666.1469314.peg.3063																				
OG0007591			fig|6666666.1469314.peg.3064																				
OG0007592			fig|6666666.1469314.peg.3065																				
OG0007593			fig|6666666.1469314.peg.3066																				
OG0007594			fig|6666666.1469314.peg.3067																				
OG0007595			fig|6666666.1469314.peg.3068																				
OG0007596			fig|6666666.1469314.peg.3104																				
OG0007597			fig|6666666.1469314.peg.3123																				
OG0007598			fig|6666666.1469314.peg.3156																				
OG0007599			fig|6666666.1469314.peg.3281																				
OG0007600			fig|6666666.1469314.peg.3333																				
OG0007601			fig|6666666.1469314.peg.3336																				
OG0007602			fig|6666666.1469314.peg.3348																				
OG0007603			fig|6666666.1469314.peg.3490																				
OG0007604			fig|6666666.1469314.peg.3508																				
OG0007605			fig|6666666.1469314.peg.3518																				
OG0007606			fig|6666666.1469314.peg.3521																				
OG0007607			fig|6666666.1469314.peg.3526																				
OG0007608			fig|6666666.1469314.peg.3530																				
OG0007609			fig|6666666.1469314.peg.3534																				
OG0007610			fig|6666666.1469314.peg.3537																				
OG0007611			fig|6666666.1469314.peg.3542																				
OG0007612			fig|6666666.1469314.peg.3543																				
OG0007613			fig|6666666.1469314.peg.3544																				
OG0007614			fig|6666666.1469314.peg.3545																				
OG0007615			fig|6666666.1469314.peg.3807																				
OG0007616			fig|6666666.1469314.peg.3817																				
OG0007617			fig|6666666.1469314.peg.3869																				
OG0007618			fig|6666666.1469314.peg.4077																				
OG0007619			fig|6666666.1469314.peg.4110																				
OG0007620			fig|6666666.1469314.peg.4111																				
OG0007621			fig|6666666.1469314.peg.4115																				
OG0007622			fig|6666666.1469314.peg.4116																				
OG0007623			fig|6666666.1469314.peg.4227																				
OG0007624			fig|6666666.1469314.peg.4253																				
OG0007625			fig|6666666.1469314.peg.4362																				
OG0007626			fig|6666666.1469314.peg.4368																				
OG0007627			fig|6666666.1469314.peg.4536																				
OG0007628			fig|6666666.1469314.peg.4775																				
OG0007629			fig|6666666.1469314.peg.4895																				
OG0007630			fig|6666666.1469314.peg.4901																				
OG0007631			fig|6666666.1469314.peg.5150																				
OG0007632			fig|6666666.1469314.peg.5164																				
OG0007633			fig|6666666.1469314.peg.5303																				
OG0007634			fig|6666666.1469314.peg.5465																				
OG0007635			fig|6666666.1469314.peg.5498																				
OG0007636			fig|6666666.1469314.peg.5512																				
OG0007637			fig|6666666.1469314.peg.5515																				
OG0007638			fig|6666666.1469314.peg.5517																				
OG0007639			fig|6666666.1469314.peg.5518																				
OG0007640			fig|6666666.1469314.peg.5540																				
OG0007641			fig|6666666.1469314.peg.5541																				
OG0007642			fig|6666666.1469314.peg.5618																				
OG0007643			fig|6666666.1469314.peg.5671																				
OG0007644			fig|6666666.1469314.peg.5698																				
OG0007645			fig|6666666.1469314.peg.5699																				
OG0007646			fig|6666666.1469314.peg.5745																				
OG0007647			fig|6666666.1469314.peg.5818																				
OG0007648			fig|6666666.1469314.peg.5827																				
OG0007649			fig|6666666.1469314.peg.5836																				
OG0007650			fig|6666666.1469314.peg.5889																				
OG0007651			fig|6666666.1469314.peg.5891																				
OG0007652			fig|6666666.1469314.peg.5892																				
OG0007653			fig|6666666.1469314.peg.5895																				
OG0007654			fig|6666666.1469314.peg.5896																				
OG0007655			fig|6666666.1469314.peg.5897																				
OG0007656				fig|6666666.1469313.peg.61																			
OG0007657				fig|6666666.1469313.peg.67																			
OG0007658				fig|6666666.1469313.peg.68																			
OG0007659				fig|6666666.1469313.peg.70																			
OG0007660				fig|6666666.1469313.peg.75																			
OG0007661				fig|6666666.1469313.peg.79																			
OG0007662				fig|6666666.1469313.peg.81																			
OG0007663				fig|6666666.1469313.peg.97																			
OG0007664				fig|6666666.1469313.peg.98																			
OG0007665				fig|6666666.1469313.peg.100																			
OG0007666				fig|6666666.1469313.peg.101																			
OG0007667				fig|6666666.1469313.peg.107																			
OG0007668				fig|6666666.1469313.peg.253																			
OG0007669				fig|6666666.1469313.peg.316																			
OG0007670				fig|6666666.1469313.peg.914																			
OG0007671				fig|6666666.1469313.peg.920																			
OG0007672				fig|6666666.1469313.peg.921																			
OG0007673				fig|6666666.1469313.peg.922																			
OG0007674				fig|6666666.1469313.peg.930																			
OG0007675				fig|6666666.1469313.peg.1140																			
OG0007676				fig|6666666.1469313.peg.1261																			
OG0007677				fig|6666666.1469313.peg.2110																			
OG0007678				fig|6666666.1469313.peg.2111																			
OG0007679				fig|6666666.1469313.peg.2115																			
OG0007680				fig|6666666.1469313.peg.2153																			
OG0007681				fig|6666666.1469313.peg.2171																			
OG0007682				fig|6666666.1469313.peg.2325																			
OG0007683				fig|6666666.1469313.peg.2365																			
OG0007684				fig|6666666.1469313.peg.2504																			
OG0007685				fig|6666666.1469313.peg.2506																			
OG0007686				fig|6666666.1469313.peg.2508																			
OG0007687				fig|6666666.1469313.peg.2512																			
OG0007688				fig|6666666.1469313.peg.2517																			
OG0007689				fig|6666666.1469313.peg.2526																			
OG0007690				fig|6666666.1469313.peg.2534																			
OG0007691				fig|6666666.1469313.peg.2540																			
OG0007692				fig|6666666.1469313.peg.2551																			
OG0007693				fig|6666666.1469313.peg.2556																			
OG0007694				fig|6666666.1469313.peg.2561																			
OG0007695				fig|6666666.1469313.peg.2564																			
OG0007696				fig|6666666.1469313.peg.2568																			
OG0007697				fig|6666666.1469313.peg.2570																			
OG0007698				fig|6666666.1469313.peg.2879																			
OG0007699				fig|6666666.1469313.peg.3010																			
OG0007700				fig|6666666.1469313.peg.3151																			
OG0007701				fig|6666666.1469313.peg.3167																			
OG0007702				fig|6666666.1469313.peg.3168																			
OG0007703				fig|6666666.1469313.peg.3169																			
OG0007704				fig|6666666.1469313.peg.3170																			
OG0007705				fig|6666666.1469313.peg.3171																			
OG0007706				fig|6666666.1469313.peg.3172																			
OG0007707				fig|6666666.1469313.peg.3177																			
OG0007708				fig|6666666.1469313.peg.3178																			
OG0007709				fig|6666666.1469313.peg.3179																			
OG0007710				fig|6666666.1469313.peg.3180																			
OG0007711				fig|6666666.1469313.peg.3185																			
OG0007712				fig|6666666.1469313.peg.3195																			
OG0007713				fig|6666666.1469313.peg.3200																			
OG0007714				fig|6666666.1469313.peg.3254																			
OG0007715				fig|6666666.1469313.peg.3267																			
OG0007716				fig|6666666.1469313.peg.3297																			
OG0007717				fig|6666666.1469313.peg.3298																			
OG0007718				fig|6666666.1469313.peg.3299																			
OG0007719				fig|6666666.1469313.peg.3301																			
OG0007720				fig|6666666.1469313.peg.3302																			
OG0007721				fig|6666666.1469313.peg.3305																			
OG0007722				fig|6666666.1469313.peg.3306																			
OG0007723				fig|6666666.1469313.peg.3310																			
OG0007724				fig|6666666.1469313.peg.3311																			
OG0007725				fig|6666666.1469313.peg.3319																			
OG0007726				fig|6666666.1469313.peg.3559																			
OG0007727				fig|6666666.1469313.peg.3676																			
OG0007728				fig|6666666.1469313.peg.3952																			
OG0007729				fig|6666666.1469313.peg.4145																			
OG0007730				fig|6666666.1469313.peg.4360																			
OG0007731					fig|6666666.1469306.peg.110																		
OG0007732					fig|6666666.1469306.peg.261																		
OG0007733					fig|6666666.1469306.peg.272																		
OG0007734					fig|6666666.1469306.peg.282																		
OG0007735					fig|6666666.1469306.peg.283																		
OG0007736					fig|6666666.1469306.peg.284																		
OG0007737					fig|6666666.1469306.peg.289																		
OG0007738					fig|6666666.1469306.peg.392																		
OG0007739					fig|6666666.1469306.peg.1066																		
OG0007740					fig|6666666.1469306.peg.1087																		
OG0007741					fig|6666666.1469306.peg.1386																		
OG0007742					fig|6666666.1469306.peg.1493																		
OG0007743					fig|6666666.1469306.peg.1734																		
OG0007744					fig|6666666.1469306.peg.1758																		
OG0007745					fig|6666666.1469306.peg.2264																		
OG0007746					fig|6666666.1469306.peg.2315																		
OG0007747					fig|6666666.1469306.peg.2588																		
OG0007748					fig|6666666.1469306.peg.2621																		
OG0007749					fig|6666666.1469306.peg.2642																		
OG0007750					fig|6666666.1469306.peg.2643																		
OG0007751					fig|6666666.1469306.peg.2929																		
OG0007752					fig|6666666.1469306.peg.3085																		
OG0007753					fig|6666666.1469306.peg.3331																		
OG0007754					fig|6666666.1469306.peg.3332																		
OG0007755					fig|6666666.1469306.peg.3337																		
OG0007756					fig|6666666.1469306.peg.3338																		
OG0007757					fig|6666666.1469306.peg.3343																		
OG0007758					fig|6666666.1469306.peg.3346																		
OG0007759					fig|6666666.1469306.peg.3347																		
OG0007760					fig|6666666.1469306.peg.3348																		
OG0007761					fig|6666666.1469306.peg.3349																		
OG0007762					fig|6666666.1469306.peg.3352																		
OG0007763					fig|6666666.1469306.peg.3355																		
OG0007764					fig|6666666.1469306.peg.3644																		
OG0007765					fig|6666666.1469306.peg.3936																		
OG0007766					fig|6666666.1469306.peg.4824																		
OG0007767					fig|6666666.1469306.peg.4825																		
OG0007768					fig|6666666.1469306.peg.4826																		
OG0007769					fig|6666666.1469306.peg.4827																		
OG0007770					fig|6666666.1469306.peg.4828																		
OG0007771					fig|6666666.1469306.peg.4829																		
OG0007772					fig|6666666.1469306.peg.4830																		
OG0007773					fig|6666666.1469306.peg.4831																		
OG0007774					fig|6666666.1469306.peg.4842																		
OG0007775					fig|6666666.1469306.peg.4843																		
OG0007776					fig|6666666.1469306.peg.4845																		
OG0007777					fig|6666666.1469306.peg.4846																		
OG0007778					fig|6666666.1469306.peg.4861																		
OG0007779					fig|6666666.1469306.peg.4865																		
OG0007780					fig|6666666.1469306.peg.4870																		
OG0007781					fig|6666666.1469306.peg.4896																		
OG0007782					fig|6666666.1469306.peg.4905																		
OG0007783						fig|6666666.871102.peg.69																	
OG0007784						fig|6666666.871102.peg.70																	
OG0007785						fig|6666666.871102.peg.78																	
OG0007786						fig|6666666.871102.peg.81																	
OG0007787						fig|6666666.871102.peg.97																	
OG0007788						fig|6666666.871102.peg.609																	
OG0007789						fig|6666666.871102.peg.863																	
OG0007790						fig|6666666.871102.peg.894																	
OG0007791						fig|6666666.871102.peg.964																	
OG0007792						fig|6666666.871102.peg.1000																	
OG0007793						fig|6666666.871102.peg.1110																	
OG0007794						fig|6666666.871102.peg.1111																	
OG0007795						fig|6666666.871102.peg.1112																	
OG0007796						fig|6666666.871102.peg.1114																	
OG0007797						fig|6666666.871102.peg.1116																	
OG0007798						fig|6666666.871102.peg.1118																	
OG0007799						fig|6666666.871102.peg.1186																	
OG0007800						fig|6666666.871102.peg.1292																	
OG0007801						fig|6666666.871102.peg.1293																	
OG0007802						fig|6666666.871102.peg.1294																	
OG0007803						fig|6666666.871102.peg.1296																	
OG0007804						fig|6666666.871102.peg.1301																	
OG0007805						fig|6666666.871102.peg.1306																	
OG0007806						fig|6666666.871102.peg.1311																	
OG0007807						fig|6666666.871102.peg.1442																	
OG0007808						fig|6666666.871102.peg.1475																	
OG0007809						fig|6666666.871102.peg.1476																	
OG0007810						fig|6666666.871102.peg.1478																	
OG0007811						fig|6666666.871102.peg.1529																	
OG0007812						fig|6666666.871102.peg.1530																	
OG0007813						fig|6666666.871102.peg.1531																	
OG0007814						fig|6666666.871102.peg.1533																	
OG0007815						fig|6666666.871102.peg.1538																	
OG0007816						fig|6666666.871102.peg.1539																	
OG0007817						fig|6666666.871102.peg.1540																	
OG0007818						fig|6666666.871102.peg.1930																	
OG0007819						fig|6666666.871102.peg.1931																	
OG0007820						fig|6666666.871102.peg.1932																	
OG0007821						fig|6666666.871102.peg.2047																	
OG0007822						fig|6666666.871102.peg.2074																	
OG0007823						fig|6666666.871102.peg.2085																	
OG0007824						fig|6666666.871102.peg.2086																	
OG0007825						fig|6666666.871102.peg.2088																	
OG0007826						fig|6666666.871102.peg.2089																	
OG0007827						fig|6666666.871102.peg.2092																	
OG0007828						fig|6666666.871102.peg.2093																	
OG0007829						fig|6666666.871102.peg.2096																	
OG0007830						fig|6666666.871102.peg.2097																	
OG0007831						fig|6666666.871102.peg.2099																	
OG0007832						fig|6666666.871102.peg.2108																	
OG0007833						fig|6666666.871102.peg.2437																	
OG0007834						fig|6666666.871102.peg.2807																	
OG0007835						fig|6666666.871102.peg.2845																	
OG0007836						fig|6666666.871102.peg.2960																	
OG0007837						fig|6666666.871102.peg.3099																	
OG0007838						fig|6666666.871102.peg.3117																	
OG0007839						fig|6666666.871102.peg.3118																	
OG0007840						fig|6666666.871102.peg.3120																	
OG0007841						fig|6666666.871102.peg.3140																	
OG0007842						fig|6666666.871102.peg.3153																	
OG0007843						fig|6666666.871102.peg.3411																	
OG0007844						fig|6666666.871102.peg.3854																	
OG0007845						fig|6666666.871102.peg.4113																	
OG0007846						fig|6666666.871102.peg.4228																	
OG0007847						fig|6666666.871102.peg.4236																	
OG0007848						fig|6666666.871102.peg.4255																	
OG0007849						fig|6666666.871102.peg.4273																	
OG0007850						fig|6666666.871102.peg.4290																	
OG0007851						fig|6666666.871102.peg.4482																	
OG0007852						fig|6666666.871102.peg.4484																	
OG0007853						fig|6666666.871102.peg.4485																	
OG0007854						fig|6666666.871102.peg.4523																	
OG0007855						fig|6666666.871102.peg.4560																	
OG0007856						fig|6666666.871102.peg.4566																	
OG0007857						fig|6666666.871102.peg.4570																	
OG0007858						fig|6666666.871102.peg.4575																	
OG0007859						fig|6666666.871102.peg.4576																	
OG0007860						fig|6666666.871102.peg.4592																	
OG0007861						fig|6666666.871102.peg.4895																	
OG0007862							fig|6666666.448865.peg.127																
OG0007863							fig|6666666.448865.peg.277																
OG0007864							fig|6666666.448865.peg.282																
OG0007865							fig|6666666.448865.peg.288																
OG0007866							fig|6666666.448865.peg.324																
OG0007867							fig|6666666.448865.peg.569																
OG0007868							fig|6666666.448865.peg.886																
OG0007869							fig|6666666.448865.peg.908																
OG0007870							fig|6666666.448865.peg.909																
OG0007871							fig|6666666.448865.peg.932																
OG0007872							fig|6666666.448865.peg.1440																
OG0007873							fig|6666666.448865.peg.1493																
OG0007874							fig|6666666.448865.peg.1497																
OG0007875							fig|6666666.448865.peg.1534																
OG0007876							fig|6666666.448865.peg.1600																
OG0007877							fig|6666666.448865.peg.1725																
OG0007878							fig|6666666.448865.peg.1751																
OG0007879							fig|6666666.448865.peg.1797																
OG0007880							fig|6666666.448865.peg.1855																
OG0007881							fig|6666666.448865.peg.1955																
OG0007882							fig|6666666.448865.peg.2087																
OG0007883							fig|6666666.448865.peg.2134																
OG0007884							fig|6666666.448865.peg.2152																
OG0007885							fig|6666666.448865.peg.2234																
OG0007886							fig|6666666.448865.peg.2235																
OG0007887							fig|6666666.448865.peg.2236																
OG0007888							fig|6666666.448865.peg.2237																
OG0007889							fig|6666666.448865.peg.2284																
OG0007890							fig|6666666.448865.peg.2306																
OG0007891							fig|6666666.448865.peg.2307																
OG0007892							fig|6666666.448865.peg.2351																
OG0007893							fig|6666666.448865.peg.2595																
OG0007894							fig|6666666.448865.peg.2597																
OG0007895							fig|6666666.448865.peg.2598																
OG0007896							fig|6666666.448865.peg.2626																
OG0007897							fig|6666666.448865.peg.2628																
OG0007898							fig|6666666.448865.peg.2779																
OG0007899							fig|6666666.448865.peg.2781																
OG0007900							fig|6666666.448865.peg.2800																
OG0007901							fig|6666666.448865.peg.2815																
OG0007902							fig|6666666.448865.peg.2898																
OG0007903							fig|6666666.448865.peg.2928																
OG0007904							fig|6666666.448865.peg.3180																
OG0007905							fig|6666666.448865.peg.3366																
OG0007906							fig|6666666.448865.peg.3791																
OG0007907							fig|6666666.448865.peg.3793																
OG0007908							fig|6666666.448865.peg.3796																
OG0007909							fig|6666666.448865.peg.3812																
OG0007910							fig|6666666.448865.peg.3813																
OG0007911							fig|6666666.448865.peg.3946																
OG0007912							fig|6666666.448865.peg.4702																
OG0007913							fig|6666666.448865.peg.4710																
OG0007914							fig|6666666.448865.peg.4744																
OG0007915							fig|6666666.448865.peg.4762																
